Table 1
salao_id;atendimento;Item;tipo;tipo
3757;11345074;corte ll+barba ll;salao_servicos;99342
3757;11345097;manicure;salao_servicos;31195
3757;11345097;anti-stress  1hora e meia;salao_servicos;31150
3757;11345097;podologia;salao_servicos;31199
3757;11345097;maquina 3;salao_servicos;31233
3757;11345097;atendimento;salao_servicos;37828
3757;11345873;corte + barba;salao_servicos;263615
3757;11345873;atendimento;salao_servicos;37828
3757;11346319;corte ll;salao_servicos;99343
3757;11346651;corte ll;salao_servicos;99343
3757;11346651;reves 1;salao_servicos;31186
3757;11347036;corte + barba;salao_servicos;263615
3757;11347535;corte ll+barba ll;salao_servicos;99342
3757;11347535;atendimento;salao_servicos;37828
3757;11347542;corte + barba;salao_servicos;263615
3757;11347542;power paste grande - ;salao_produtos;76751
3757;11348070;corte ll+barba ll;salao_servicos;99342
3757;11348915;corte ll+barba ll;salao_servicos;99342
3757;11348915;barba ll;salao_servicos;99364
3757;11349652;massagem anti-atress 1 hora;salao_servicos;31149
3757;11349652;atendimento;salao_servicos;37828
3757;11350295;corte ll;salao_servicos;99343
3757;11350295;maquina 2;salao_servicos;31229
3757;11350295;facial;salao_servicos;31243
3757;11350864;corte ll+barba ll;salao_servicos;99342
3757;11350864;atendimento;salao_servicos;37828
3757;11351575;corte + barba;salao_servicos;263615
3757;11351575;atendimento;salao_servicos;37828
3757;11351720;corte ll;salao_servicos;99343
3757;11351720;facial;salao_servicos;31243
3757;11351720;maquina 1;salao_servicos;31232
3757;11351827;corte ll;salao_servicos;99343
3757;11351827;facial;salao_servicos;31243
3757;11351827;atendimento;salao_servicos;37828
3757;11353280;corte + barba;salao_servicos;263615
3757;11353280;atendimento;salao_servicos;37828
3757;11353875;corte ll;salao_servicos;99343
3757;11353875;massagem integrativa n;salao_servicos;31155
3757;11353875;limpeza de pele facial;salao_servicos;31209
3757;11355205;manicure;salao_servicos;31195
3757;11355205;podologia;salao_servicos;31199
3757;11355205;atendimento;salao_servicos;37828
3757;11358127;manicure;salao_servicos;31195
3757;11358887;corte + barba;salao_servicos;263615
3757;11358971;corte infantil;salao_servicos;31143
3757;11360552;barba ;salao_servicos;31141
3757;11362792;corte;salao_servicos;31142
3757;11362792;tintura;salao_servicos;31189
3757;11362792;atendimento;salao_servicos;37828
3757;11363951;barba ;salao_servicos;31141
3757;11363951;manicure;salao_servicos;31195
3757;11364320;corte ll;salao_servicos;99343
3757;11364758;corte;salao_servicos;31142
3757;11364758;hidratacao capilar;salao_servicos;31192
3757;11366448;corte + barba;salao_servicos;263615
3757;11366448;manicure;salao_servicos;31195
3757;11366448;podologia;salao_servicos;31199
3757;11366448;massagem shiatsu;salao_servicos;31152
3757;11366873;podologia;salao_servicos;31199
3757;11366873;corte com maquina;salao_servicos;31194
3757;11366873;manicure;salao_servicos;31195
3757;11366873;facial;salao_servicos;31243
3757;11367629;anti-stress  1hora e meia;salao_servicos;31150
3757;11367629;atendimento;salao_servicos;37828
3757;11368056;corte ll;salao_servicos;99343
3757;11368056;atendimento;salao_servicos;37828
3757;11368083;corte ll;salao_servicos;99343
3757;11368083;refrigerante pago - ;salao_produtos;21226
3757;11368470;corte ll;salao_servicos;99343
3757;11368470;atendimento;salao_servicos;37828
3757;11370491;sobrancelha;salao_servicos;31245
3757;11371065;corte;salao_servicos;31142
3757;11371065;corte infantil;salao_servicos;31143
3757;11371065;atendimento;salao_servicos;37828
3757;11371564;hidratacao capilar;salao_servicos;31192
3757;11371564;aplicação de tintura;salao_servicos;35551
3757;11371564;cerveja gratis - ;salao_produtos;21224
3757;11371586;manicure;salao_servicos;31195
3757;11371586;facial;salao_servicos;31243
3757;11371586;podologia;salao_servicos;31199
3757;11371586;atendimento;salao_servicos;37828
3757;11372942;massagem anti-atress 1 hora;salao_servicos;31149
3757;11372942;atendimento;salao_servicos;37828
3757;11376731;barba ;salao_servicos;31141
3757;11377427;corte ll;salao_servicos;99343
3757;11377427;facial;salao_servicos;31243
3757;11377427;atendimento;salao_servicos;37828
3757;11377696;massagem anti-stress 1 hora n;salao_servicos;99393
3757;11377696;refrigerante pago - ;salao_produtos;21226
3757;11377696;atendimento;salao_servicos;37828
3757;11377884;massagem anti-atress 1 hora;salao_servicos;31149
3757;11377884;massagem facial 1/2;salao_servicos;31220
3757;11377884;atendimento;salao_servicos;37828
3757;11378131;maquina 1;salao_servicos;31232
3757;11378602;anti-stress  1hora e meia;salao_servicos;31150
3757;11379050;massagem integrativa n;salao_servicos;31155
3757;11379050;atendimento;salao_servicos;37828
3757;11379426;corte ll;salao_servicos;99343
3757;11379426;barba ll;salao_servicos;99364
3757;11380058;barba ;salao_servicos;31141
3757;11382114;facial;salao_servicos;31243
3757;11382419;barba ;salao_servicos;31141
3757;11382419;atendimento;salao_servicos;37828
4047;11345154;cabelo;salao_servicos;32090
4047;11345154;agua sem gas - ;salao_produtos;20792
4047;11345623;cabelo;salao_servicos;32090
4047;11345623;agua sem gas - ;salao_produtos;20792
4047;11346127;cabelo;salao_servicos;32090
